size,signal_type,iteration,vector_size,vFFT_mean_err,vFFT_max_err,vFFT_std_err,nFFT_mean_err,nFFT_max_err,nFFT_std_err,vIFFT_mean_err,vIFFT_max_err,vIFFT_std_err,nIFFT_mean_err,nIFFT_max_err,nIFFT_std_err,vFFT_mean_norm_err,nFFT_mean_norm_err,vIFFT_mean_norm_err,nIFFT_mean_norm_err
16,chirp,0,128,0.00029754543,0.0006488126,0.00015708039,0.000315918,0.00073496066,0.00017831704,7.755255e-05,0.00013647876,3.3243443e-05,8.418923e-05,0.00018310547,4.2680014e-05,1.1264876e-07,1.1362792e-07,9.965078e-08,1.079794e-07
16,chirp,1,128,0.00028859207,0.00069053395,0.00019735933,0.00028888613,0.00088026153,0.0002448846,6.635927e-05,0.00013647876,3.4352033e-05,6.955571e-05,0.00013647876,3.4855675e-05,1.0503956e-07,1.023879e-07,8.617623e-08,9.094734e-08
16,chirp,2,128,0.00026905065,0.00061035156,0.00018292949,0.00026833476,0.00054591504,0.00018972164,8.678794e-05,0.00019301011,5.5594526e-05,7.272564e-05,0.00024604058,6.0260314e-05,1.2743416e-07,2.0232658e-07,1.215709e-07,1.06720535e-07
16,chirp,3,128,0.000325893,0.0013147375,0.0003573347,0.00035025872,0.0012448778,0.00035378782,6.004399e-05,0.00014067908,3.660811e-05,5.6746816e-05,0.0001258272,3.9146133e-05,1.10381194e-07,1.2291395e-07,1.4555994e-07,1.250673e-07
16,chirp,4,128,0.0001471413,0.00027295752,8.808438e-05,0.00016578157,0.00030517578,9.562239e-05,3.7479607e-05,0.00012207031,3.651856e-05,3.2075794e-05,8.6316744e-05,3.168125e-05,6.655429e-08,7.345497e-08,6.632587e-08,6.1703055e-08
32,random,0,128,0.00045271817,0.0017605231,0.000356495,0.0004651604,0.0019155707,0.00040176135,6.996303e-05,0.00013647876,3.557348e-05,6.97012e-05,0.00015028164,2.96424e-05,1.5240559e-07,1.5806447e-07,1.6126474e-07,1.538387e-07
32,random,1,128,0.0004317065,0.0014863032,0.0003490988,0.00042778513,0.0016021002,0.0003636279,9.1209964e-05,0.00024604058,5.4700664e-05,7.690521e-05,0.00019073486,5.107004e-05,1.1380368e-07,1.0810887e-07,1.4016949e-07,1.2242145e-07
32,random,2,128,0.0005119021,0.0012207031,0.0002769301,0.00050813454,0.0011467465,0.0002844242,6.397751e-05,0.00013647876,4.0548708e-05,7.548316e-05,0.00019301011,4.3216853e-05,1.3406066e-07,1.3803489e-07,9.9209004e-08,1.18777116e-07
32,random,3,128,0.00045792377,0.0010785277,0.00024792465,0.00044533948,0.0010785277,0.00026299522,8.061278e-05,0.00019301011,3.9700164e-05,7.5838834e-05,0.00018310547,4.588709e-05,1.4745959e-07,1.4379368e-07,1.3288526e-07,1.240035e-07
32,random,4,128,0.00050355896,0.0020716018,0.0004489883,0.0004899292,0.0017605231,0.00041661874,9.443179e-05,0.00025396055,6.427543e-05,7.8955025e-05,0.00013647876,3.5896992e-05,1.3570599e-07,1.2946602e-07,2.0503717e-07,1.5109185e-07
32,sine,0,128,0.00048419912,0.0010986328,0.00030128934,0.0005151734,0.0010986328,0.00030437793,7.76487e-05,0.00024795532,5.67832e-05,8.677956e-05,0.00023394391,5.3370975e-05,1.4973364e-07,1.5113142e-07,1.5467955e-07,1.6901654e-07
32,sine,1,128,0.0004966894,0.0012207031,0.00032408105,0.00050759426,0.0012207031,0.00032692912,6.89723e-05,0.00013647876,3.7058435e-05,7.592219e-05,0.00021643363,4.3814885e-05,1.2692976e-07,1.2579349e-07,1.5133787e-07,1.546039e-07
32,sine,2,128,0.00042251032,0.0015869141,0.0003693569,0.00046516088,0.0020751953,0.00044316743,7.7176046e-05,0.00023353925,5.1930903e-05,9.174338e-05,0.0002471029,5.89862e-05,1.1785981e-07,1.18575116e-07,1.3572883e-07,1.5537498e-07
